CD_BAIRRO,NM_BAIRRO,V01006,V01007,V01008,V01009,V01010,V01011,V01012,V01013,V01014,V01015,V01016,V01017,V01018,V01019,V01020,V01021,V01022,V01023,V01024,V01025,V01026,V01027,V01028,V01029,V01030,V01031,V01032,V01033,V01034,V01035,V01036,V01037,V01038,V01039,V01040,V01041
2211100001,Centro,3276,1574,1702,75,93,101,123,123,120,219,240,187,133,157,74,87,86,99,147,94,227,259,214,177,235,154,180,188,222,270,214,446,499,401,310,392
2211100002,São João,861,427,434,29,30,33,35,37,36,68,67,32,28,32,30,21,29,33,37,21,64,61,44,43,51,59,51,62,68,74,57,132,128,76,71,83
2211100003,Beira Rio,574,258,316,14,7,18,28,20,21,40,39,25,20,24,19,22,17,29,21,23,44,46,32,34,29,33,31,35,57,41,44,84,85,57,54,53
2211100004,Buritizinho,1925,946,979,72,86,73,85,86,98,151,132,72,40,51,85,75,64,96,95,70,152,145,87,44,66,157,161,137,181,181,168,303,277,159,84,117
2211100005,São Pedro,3405,1649,1756,153,147,143,135,143,124,254,258,122,78,92,129,145,134,159,150,132,305,235,125,119,123,282,292,277,294,293,256,559,493,247,197,215
2211100006,Vila Nova Conquista,2787,1380,1407,153,129,127,138,130,114,203,171,95,68,52,126,125,147,141,127,113,208,180,123,63,52,279,254,274,279,257,227,411,351,218,131,106
2211100007,São Sebastião,2375,1155,1220,85,86,89,93,103,89,209,156,112,56,68,101,82,81,82,114,115,189,166,123,84,80,190,170,170,175,217,206,398,322,235,140,151
2211100008,São Judas Tadeu,1861,888,973,61,57,67,88,74,80,120,128,102,62,47,71,62,62,76,89,63,157,129,95,87,82,132,119,129,164,163,143,277,257,197,149,131
2211100009,Dos Cocos,2423,1174,1249,139,131,152,115,86,84,197,126,73,42,25,117,132,132,117,82,118,260,142,61,47,39,256,264,284,234,168,202,457,268,135,89,66
2211100010,Cruzeiro,1739,861,878,59,58,72,74,78,69,139,96,100,65,51,58,49,57,87,78,64,125,116,95,74,73,117,109,129,161,156,133,264,212,195,139,124
2211100011,São Francisco,1008,463,545,38,40,36,32,37,43,97,52,40,18,19,50,31,39,27,48,49,97,83,34,46,31,89,74,75,59,86,96,194,137,74,64,50
2211100012,Nossa Senhora das Graças,1044,477,567,42,29,31,30,37,37,63,82,44,38,39,29,43,28,43,42,40,88,68,73,58,53,71,73,59,73,79,79,151,150,121,96,92
2211100013,Areias,192,93,99,7,7,10,9,8,5,12,11,11,6,7,6,8,12,7,7,6,15,14,13,0,10,13,15,22,16,15,11,27,25,24,7,17
2211100014,São José,467,228,239,21,15,22,22,26,7,33,33,18,12,11,15,12,13,34,18,19,48,33,19,9,8,36,31,39,56,44,30,81,66,39,25,20
